
$D,-0.188,-0.197,0.952
$D,-0.173,-0.198,0.968
$D,-0.163,-0.205,0.978
$D,-0.157,-0.209,0.992
$D,-0.156,-0.212,0.999
$D,-0.158,-0.213,0.999
$D,-0.160,-0.212,0.999
$D,-0.159,-0.214,1.004
$D,-0.162,-0.222,1.012
$D,-0.164,-0.231,1.020
$D,-0.176,-0.219,1.011
$D,-0.196,-0.185,0.970
$D,-0.223,-0.183,0.944
$D,-0.244,-0.186,0.935
$D,-0.240,-0.197,0.929
$D,-0.237,-0.212,0.924
$D,-0.231,-0.225,0.954
$D,-0.215,-0.205,0.955
$D,-0.223,-0.195,0.951
$D,-0.232,-0.220,0.971
$D,-0.191,-0.208,0.955
$D,-0.184,-0.182,0.953
$D,-0.194,-0.163,0.945
$D,-0.192,-0.167,0.949
$D,-0.194,-0.171,0.945
$D,-0.195,-0.173,0.950
$D,-0.185,-0.180,0.960
$D,-0.183,-0.183,0.964
$D,-0.203,-0.182,0.958
$D,-0.238,-0.180,0.948
$D,-0.222,-0.177,0.960
$D,-0.214,-0.173,0.957
$D,-0.218,-0.172,0.954
$D,-0.228,-0.174,0.950
$D,-0.233,-0.176,0.948
$D,-0.227,-0.183,0.954
$D,-0.222,-0.196,0.964
$D,-0.226,-0.199,0.967
$D,-0.227,-0.200,0.960
$D,-0.238,-0.208,0.943
$D,-0.244,-0.226,0.926
$D,-0.239,-0.226,0.925
$D,-0.241,-0.218,0.930
$D,-0.238,-0.196,0.940
$D,-0.211,-0.179,0.963
$D,-0.188,-0.182,0.979
$D,-0.193,-0.177,0.977
$D,-0.207,-0.184,0.968
$D,-0.242,-0.202,0.949
$D,-0.271,-0.209,0.938
$D,-0.252,-0.212,0.949
$D,-0.235,-0.212,0.967
$D,-0.225,-0.217,0.962
$D,-0.228,-0.220,0.954
$D,-0.232,-0.222,0.948
$D,-0.224,-0.217,0.952
$D,-0.217,-0.213,0.947
$D,-0.207,-0.203,0.953
$D,-0.190,-0.206,0.958
$D,-0.185,-0.210,0.950
$D,-0.187,-0.221,0.938
$D,-0.193,-0.235,0.933
$D,-0.185,-0.246,0.935
$D,-0.173,-0.256,0.942
$D,-0.186,-0.268,0.930
$D,-0.193,-0.267,0.929
$D,-0.192,-0.272,0.933
$D,-0.187,-0.282,0.935
$D,-0.184,-0.293,0.931
$D,-0.179,-0.292,0.924
$D,-0.165,-0.294,0.915
$D,-0.147,-0.294,0.937
$D,-0.130,-0.299,0.934
$D,-0.135,-0.316,0.933
$D,-0.151,-0.325,0.934
$D,-0.134,-0.331,0.951
$D,-0.102,-0.294,0.954
$D,-0.141,-0.280,0.988
$D,-0.158,-0.315,0.981
$D,-0.142,-0.363,0.976
$D,-0.160,-0.361,0.949
$D,-0.145,-0.357,0.952
$D,-0.136,-0.353,0.953
$D,-0.132,-0.355,0.961
$D,-0.131,-0.351,0.964
$D,-0.125,-0.342,0.965
$D,-0.130,-0.334,0.958
$D,-0.141,-0.324,0.945
$D,-0.153,-0.318,0.930
$D,-0.156,-0.332,0.934
$D,-0.150,-0.333,0.942
$D,-0.149,-0.335,0.947
$D,-0.145,-0.341,0.950
$D,-0.142,-0.346,0.952
$D,-0.160,-0.362,0.944
$D,-0.132,-0.383,0.964
$D,-0.127,-0.402,0.973
$D,-0.135,-0.381,0.952
$D,-0.140,-0.370,0.940
$D,-0.143,-0.373,0.942
$D,-0.148,-0.376,0.940
$D,-0.155,-0.387,0.938
$D,-0.158,-0.394,0.941
$D,-0.164,-0.389,0.935
$D,-0.171,-0.376,0.936
$D,-0.178,-0.373,0.942
$D,-0.192,-0.378,0.930
$D,-0.206,-0.384,0.928
$D,-0.209,-0.390,0.937
$D,-0.221,-0.405,0.934
$D,-0.236,-0.415,0.926
$D,-0.256,-0.416,0.932
$D,-0.268,-0.406,0.932
$D,-0.268,-0.402,0.938
$D,-0.273,-0.400,0.934
$D,-0.288,-0.409,0.922
$D,-0.287,-0.413,0.899
$D,-0.282,-0.410,0.876
$D,-0.275,-0.381,0.864
$D,-0.247,-0.339,0.904
$D,-0.242,-0.334,0.895
$D,-0.243,-0.332,0.895
$D,-0.236,-0.322,0.901
$D,-0.240,-0.303,0.902
$D,-0.229,-0.311,0.902
$D,-0.221,-0.332,0.898
$D,-0.214,-0.341,0.882
$D,-0.192,-0.312,0.900
$D,-0.178,-0.296,0.911
$D,-0.186,-0.338,0.896
$D,-0.206,-0.396,0.874
$D,-0.214,-0.420,0.871
$D,-0.216,-0.423,0.880
$D,-0.219,-0.428,0.897
$D,-0.228,-0.425,0.915
$D,-0.232,-0.412,0.920
$D,-0.237,-0.398,0.924
$D,-0.234,-0.385,0.935
$D,-0.232,-0.374,0.939
$D,-0.240,-0.373,0.928
$D,-0.248,-0.373,0.907
$D,-0.259,-0.368,0.887
$D,-0.261,-0.364,0.881
$D,-0.265,-0.367,0.879
$D,-0.268,-0.363,0.887
$D,-0.275,-0.360,0.896
$D,-0.286,-0.365,0.900
$D,-0.291,-0.380,0.895
$D,-0.299,-0.392,0.888
$D,-0.311,-0.388,0.892
$D,-0.318,-0.389,0.909
$D,-0.331,-0.395,0.924
$D,-0.328,-0.404,0.927
$D,-0.328,-0.406,0.929
$D,-0.331,-0.406,0.928
$D,-0.334,-0.407,0.922
$D,-0.332,-0.407,0.913
$D,-0.330,-0.399,0.909
$D,-0.334,-0.389,0.913
$D,-0.341,-0.385,0.916
$D,-0.341,-0.396,0.901
$D,-0.340,-0.417,0.869
$D,-0.347,-0.450,0.845
$D,-0.353,-0.472,0.847
$D,-0.362,-0.478,0.866
$D,-0.381,-0.494,0.863
$D,-0.388,-0.504,0.840
$D,-0.389,-0.501,0.793
$D,-0.382,-0.478,0.766
$D,-0.388,-0.457,0.773
$D,-0.390,-0.455,0.794
$D,-0.396,-0.468,0.808
$D,-0.403,-0.493,0.794
$D,-0.411,-0.531,0.760
$D,-0.411,-0.592,0.723
$D,-0.390,-0.638,0.704
$D,-0.386,-0.655,0.693
$D,-0.397,-0.659,0.687
$D,-0.414,-0.667,0.685
$D,-0.439,-0.682,0.671
$D,-0.448,-0.721,0.632
$D,-0.456,-0.756,0.602
$D,-0.449,-0.770,0.563
$D,-0.463,-0.757,0.533
$D,-0.463,-0.730,0.521
$D,-0.457,-0.711,0.520
$D,-0.441,-0.710,0.508
$D,-0.427,-0.717,0.486
$D,-0.410,-0.722,0.456
$D,-0.409,-0.719,0.430
$D,-0.408,-0.729,0.432
$D,-0.410,-0.737,0.441
$D,-0.417,-0.741,0.429
$D,-0.425,-0.742,0.377
$D,-0.441,-0.748,0.312
$D,-0.457,-0.789,0.311
$D,-0.460,-0.824,0.310
$D,-0.466,-0.854,0.298
$D,-0.468,-0.845,0.277
$D,-0.472,-0.819,0.232
$D,-0.459,-0.828,0.204
$D,-0.449,-0.872,0.187
$D,-0.439,-0.926,0.169
$D,-0.456,-0.896,0.125
$D,-0.469,-0.844,0.032
$D,-0.471,-0.845,-0.031
$D,-0.525,-0.876,-0.005
$D,-0.555,-0.850,0.063
$D,-0.616,-0.857,0.109
$D,-0.653,-0.831,0.107
$D,-0.648,-0.809,0.113
$D,-0.632,-0.789,0.132
$D,-0.547,-0.794,0.019
$D,-0.637,-0.760,-0.187
$D,-0.641,-0.798,-0.044
$D,-0.695,-0.681,-0.067
$D,-0.694,-0.703,0.031
$D,-0.589,-0.782,0.183
$D,-0.681,-0.712,-0.022
$D,-0.624,-0.725,-0.010
$D,-0.605,-0.747,0.076
$D,-0.709,-0.713,-0.016
$D,-0.651,-0.749,0.038
$D,-0.829,-0.612,-0.071
$D,-0.631,-0.499,0.245
$D,-0.725,-0.518,0.231
$D,-0.698,-0.561,0.190
$D,-0.802,-0.682,0.133
$D,-0.966,-0.784,0.119
