
$D,-0.197,0.383,0.911
$D,-0.176,0.391,0.940
$D,-0.164,0.383,0.936
$D,-0.162,0.391,0.926
$D,-0.154,0.403,0.926
$D,-0.150,0.414,0.940
$D,-0.149,0.411,0.952
$D,-0.146,0.417,0.939
$D,-0.149,0.411,0.924
$D,-0.167,0.399,0.920
$D,-0.175,0.421,0.938
$D,-0.157,0.425,0.958
$D,-0.158,0.421,0.963
$D,-0.154,0.414,0.958
$D,-0.149,0.418,0.959
$D,-0.145,0.422,0.963
$D,-0.149,0.423,0.975
$D,-0.128,0.429,0.941
$D,-0.120,0.393,0.939
$D,-0.128,0.378,0.927
$D,-0.128,0.360,0.922
$D,-0.120,0.355,0.917
$D,-0.108,0.352,0.909
$D,-0.089,0.339,0.902
$D,-0.084,0.328,0.901
$D,-0.082,0.317,0.903
$D,-0.081,0.309,0.904
$D,-0.081,0.311,0.913
$D,-0.085,0.312,0.923
$D,-0.085,0.309,0.934
$D,-0.089,0.305,0.940
$D,-0.087,0.300,0.938
$D,-0.085,0.299,0.935
$D,-0.082,0.301,0.932
$D,-0.079,0.303,0.928
$D,-0.074,0.311,0.925
$D,-0.069,0.317,0.923
$D,-0.068,0.322,0.922
$D,-0.072,0.322,0.927
$D,-0.082,0.325,0.935
$D,-0.093,0.327,0.947
$D,-0.100,0.325,0.952
$D,-0.105,0.323,0.953
$D,-0.108,0.321,0.951
$D,-0.108,0.320,0.949
$D,-0.111,0.320,0.948
$D,-0.113,0.323,0.947
$D,-0.113,0.326,0.942
$D,-0.113,0.331,0.935
$D,-0.114,0.338,0.923
$D,-0.115,0.343,0.900
$D,-0.114,0.349,0.866
$D,-0.110,0.356,0.827
$D,-0.102,0.362,0.823
$D,-0.100,0.364,0.832
$D,-0.115,0.365,0.855
$D,-0.116,0.351,0.886
$D,-0.142,0.359,0.915
$D,-0.145,0.350,0.925
$D,-0.146,0.347,0.923
$D,-0.138,0.347,0.920
$D,-0.134,0.351,0.922
$D,-0.131,0.355,0.932
$D,-0.141,0.357,0.948
$D,-0.156,0.360,0.957
$D,-0.151,0.352,0.933
$D,-0.104,0.355,0.907
$D,-0.095,0.375,0.929
$D,-0.121,0.378,0.957
$D,-0.174,0.374,0.986
$D,-0.206,0.364,0.957
$D,-0.155,0.373,0.904
$D,-0.106,0.396,0.901
$D,-0.130,0.406,0.925
$D,-0.187,0.400,0.957
$D,-0.219,0.389,0.927
$D,-0.176,0.383,0.871
$D,-0.124,0.400,0.845
$D,-0.132,0.411,0.873
$D,-0.175,0.397,0.902
$D,-0.224,0.381,0.907
$D,-0.215,0.386,0.899
$D,-0.204,0.404,0.908
$D,-0.220,0.436,0.945
$D,-0.264,0.439,0.977
$D,-0.268,0.426,0.945
$D,-0.247,0.429,0.906
$D,-0.221,0.438,0.888
$D,-0.225,0.452,0.907
$D,-0.255,0.458,0.929
$D,-0.265,0.443,0.904
$D,-0.257,0.437,0.880
$D,-0.241,0.441,0.871
$D,-0.240,0.448,0.878
$D,-0.259,0.449,0.887
$D,-0.285,0.452,0.885
$D,-0.293,0.445,0.867
$D,-0.289,0.441,0.838
$D,-0.298,0.448,0.835
$D,-0.311,0.444,0.837
$D,-0.328,0.438,0.831
$D,-0.315,0.424,0.794
$D,-0.267,0.408,0.755
$D,-0.255,0.446,0.753
$D,-0.266,0.461,0.772
$D,-0.307,0.469,0.813
$D,-0.350,0.478,0.828
$D,-0.387,0.486,0.845
$D,-0.377,0.506,0.837
$D,-0.395,0.474,0.857
$D,-0.357,0.478,0.852
$D,-0.365,0.470,0.865
$D,-0.355,0.471,0.865
$D,-0.346,0.470,0.857
$D,-0.313,0.462,0.842
$D,-0.295,0.481,0.842
$D,-0.303,0.491,0.880
$D,-0.333,0.503,0.955
$D,-0.322,0.448,0.978
$D,-0.296,0.427,0.948
$D,-0.299,0.393,0.891
$D,-0.302,0.372,0.832
$D,-0.317,0.367,0.802
$D,-0.322,0.387,0.818
$D,-0.328,0.397,0.827
$D,-0.305,0.407,0.827
$D,-0.306,0.396,0.830
$D,-0.308,0.386,0.816
$D,-0.311,0.443,0.855
$D,-0.330,0.530,0.930
$D,-0.344,0.521,0.915
$D,-0.351,0.512,0.897
$D,-0.336,0.494,0.855
$D,-0.314,0.489,0.820
$D,-0.319,0.479,0.817
$D,-0.325,0.478,0.821
$D,-0.340,0.487,0.829
$D,-0.369,0.486,0.834
$D,-0.355,0.496,0.824
$D,-0.344,0.510,0.816
$D,-0.372,0.508,0.805
$D,-0.393,0.499,0.797
$D,-0.389,0.525,0.800
$D,-0.385,0.555,0.792
$D,-0.384,0.575,0.775
$D,-0.381,0.579,0.764
$D,-0.493,0.589,0.823
$D,-0.328,0.506,0.728
$D,-0.368,0.420,0.677
$D,-0.432,0.442,0.745
$D,-0.448,0.459,0.774
$D,-0.460,0.470,0.784
$D,-0.471,0.468,0.775
$D,-0.465,0.450,0.757
$D,-0.470,0.432,0.745
$D,-0.478,0.426,0.749
$D,-0.485,0.427,0.752
$D,-0.488,0.438,0.751
$D,-0.491,0.443,0.750
$D,-0.488,0.435,0.741
$D,-0.491,0.422,0.723
$D,-0.498,0.413,0.707
$D,-0.506,0.437,0.716
$D,-0.510,0.468,0.740
$D,-0.506,0.484,0.775
$D,-0.504,0.462,0.781
$D,-0.520,0.459,0.771
$D,-0.529,0.481,0.795
$D,-0.510,0.483,0.787
$D,-0.511,0.464,0.771
$D,-0.537,0.419,0.736
$D,-0.527,0.352,0.678
$D,-0.490,0.338,0.642
$D,-0.506,0.389,0.694
$D,-0.525,0.427,0.715
$D,-0.527,0.455,0.722
$D,-0.507,0.475,0.749
$D,-0.463,0.498,0.771
$D,-0.423,0.534,0.783
$D,-0.388,0.565,0.791
$D,-0.405,0.591,0.758
$D,-0.425,0.615,0.717
$D,-0.395,0.648,0.688
$D,-0.363,0.655,0.639
$D,-0.356,0.693,0.708
$D,-0.374,0.687,0.731
$D,-0.386,0.673,0.675
$D,-0.389,0.717,0.588
$D,-0.432,0.722,0.590
$D,-0.423,0.708,0.597
$D,-0.423,0.694,0.584
$D,-0.411,0.710,0.565
$D,-0.390,0.736,0.543
$D,-0.404,0.830,0.537
$D,-0.333,0.912,0.542
$D,-0.253,0.910,0.540
$D,-0.261,0.877,0.525
$D,-0.273,0.892,0.421
$D,-0.295,0.874,0.234
$D,-0.269,0.801,0.238
$D,-0.265,0.816,0.254
$D,-0.281,0.861,0.240
$D,-0.294,0.857,0.223
$D,-0.320,0.874,0.233
$D,-0.317,0.895,0.263
$D,-0.243,0.894,0.269
$D,-0.268,0.908,0.257
$D,-0.284,0.927,0.215
$D,-0.288,0.953,0.175
$D,-0.277,0.988,0.174
$D,-0.348,1.005,0.203
$D,-0.446,0.968,0.145
$D,-0.430,0.893,-0.037
$D,-0.377,0.892,-0.076
$D,-0.382,0.932,-0.026
$D,-0.358,0.964,0.032
$D,-0.174,0.956,-0.000
$D,-0.229,0.908,-0.114
$D,-0.274,0.932,-0.044
$D,-0.183,1.017,-0.029
$D,-0.183,1.038,0.006
$D,-0.145,0.974,-0.035
$D,-0.134,0.922,-0.188
$D,-0.168,0.975,-0.276
$D,-0.116,1.001,-0.077
$D,-0.019,0.874,0.058
$D,-0.274,0.941,0.050
$D,-0.249,1.001,0.058
$D,-0.218,0.980,0.007
$D,-0.177,0.900,-0.126
$D,-0.095,0.733,-0.211
$D,-0.212,0.667,-0.157
$D,-0.248,0.903,0.012
$D,-0.292,1.187,0.191
$D,-0.360,1.186,0.307
$D,-0.210,1.073,-0.004
$D,-0.222,1.102,-0.187
$D,-0.429,1.185,0.107
$D,-0.821,1.045,0.029
$D,-0.738,0.979,-0.164
$D,-0.547,0.732,0.221
$D,-0.561,0.378,0.060
$D,-0.614,0.834,0.061
$D,-0.694,0.682,0.053
$D,-0.666,0.638,0.100
$D,-0.648,0.724,0.077
$D,-0.632,0.877,0.070
$D,-0.622,0.947,0.068
$D,-0.544,0.840,0.155
$D,-0.474,0.946,0.251
$D,-0.444,0.897,0.204
$D,-0.534,0.931,0.449
$D,-0.513,0.672,0.224
$D,-0.464,0.735,0.063
$D,-0.441,0.875,0.266
$D,-0.467,1.110,0.351
$D,-0.440,0.919,0.119
$D,-0.497,0.722,0.176
$D,-0.380,0.645,0.151
$D,-0.373,0.727,0.062
$D,-0.367,0.821,0.139
$D,-0.371,0.855,0.152
$D,-0.412,0.871,0.144
$D,-0.393,0.875,0.131
$D,-0.384,0.904,0.155
$D,-0.408,0.950,0.198
$D,-0.414,0.938,0.177
$D,-0.433,0.921,0.173
$D,-0.444,0.883,0.173
$D,-0.440,0.861,0.163
$D,-0.444,0.899,0.159
$D,-0.454,0.914,0.167
$D,-0.447,0.912,0.182
$D,-0.456,0.913,0.186
$D,-0.444,0.885,0.173
$D,-0.474,0.930,0.168
$D,-0.515,0.993,0.147
$D,-0.509,0.957,0.135
$D,-0.496,0.911,0.119
$D,-0.537,0.985,0.170
$D,-0.645,0.995,0.258
$D,-0.595,0.991,0.148
$D,-0.482,1.038,0.167
$D,-0.553,0.975,0.149
$D,-0.451,0.867,0.192
$D,-0.425,0.741,0.135
$D,-0.389,0.595,0.189
$D,-0.398,0.586,0.162
$D,-0.428,0.661,0.127
$D,-0.409,0.703,0.176
